time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,-0.17478301928056802,0.11423139007219696,11.706945073106857,0.051702800762792656,0.06021805998520513,0.0,-0.4782829706055723,0.333938094391469,3.0989967117114086,0.037508947309618824,0.009445058503196666,0.0,484.85740830636166,484.2307397483151,485.2972670100126,483.2595692155262
1.2600000000000007,-0.20473777844830562,0.13534737466654392,11.895944898216776,0.054150752611206165,0.061637548543012954,0.0,-0.5203061375261325,0.3701514793249256,3.2006829092397027,0.04667753349482932,0.042807096479151645,0.0,445.9339084115177,448.6509786884135,447.25012373965814,447.99710897113897
1.3200000000000007,-0.23702732549394745,0.15849217583506628,12.087457299955243,0.05661813853657627,0.06402919034424936,0.0,-0.5562287843591164,0.4015667640716032,3.1830725698808604,0.02668795364515965,0.03320054687435453,0.0,410.1889116444412,409.33582575505886,409.48679215202276,407.7056324357871
1.3800000000000008,-0.2716901906088943,0.18371810588880308,12.280663059584196,0.05916509507913492,0.06593316144570416,0.0,-0.5993815604772886,0.4394957460597636,3.2568681297598707,0.06298613112789392,0.02862346026234972,0.0,440.1849134022497,439.8063425745212,437.14637941198106,440.16161581829283
1.4400000000000008,-0.3093936092105189,0.21164931958691435,12.484512845728958,0.0625880458482575,0.06753288659184964,0.0,-0.6575615281995584,0.49195845551738254,3.5372263405829316,0.04124035009528614,0.022419112927568055,0.0,501.84314909901906,501.39266057680106,501.936845469762,500.35795029489583
1.5000000000000009,-0.3505569248012506,0.2427442392899375,12.704117586619756,0.06454287506447542,0.0686478938526367,0.0,-0.7146536922529995,0.5447719414846413,3.7820926638580414,0.0032157569416888104,0.009527772097554909,0.0,494.06312208105754,493.11162503902875,494.05700940203087,491.2456217043383
1.560000000000001,-0.39503466914100605,0.27691707640015895,12.936427881222885,0.06492169498560685,0.06900590118758654,0.0,-0.7679556374109257,0.5943100962083707,3.960945909998342,0.011883633328388276,-0.0023266128403510635,0.0,476.14612493042097,475.2382245579633,475.26493929114275,475.92876205593944
1.620000000000001,-0.4425497710060762,0.3139145803391766,13.177047722903392,0.06591401302646194,0.06879909125602435,0.0,-0.8158462677652515,0.6389992264148062,4.059340394796956,0.024517997317334464,-0.005787215937790932,0.0,452.99124317760794,452.71292410296275,451.88471041857173,452.90202159721343
1.680000000000001,-0.4926953266473059,0.3533851862375438,13.420095986280169,0.06715088262092994,0.0684055993340511,0.0,-0.8556529170199392,0.6768012952736613,4.042303715708541,0.011367047761594395,-0.008146602078952831,0.0,417.00282348262704,416.79675328875516,415.93801531321856,414.78459157401545
1.740000000000001,-0.545379552965826,0.39529442043831436,13.664387152720577,0.06797892222377122,0.06807654011842335,0.0,-0.9004432112058496,0.7202244028006689,4.100501300154386,0.018270593844599798,-0.0006303293814869672,0.0,440.22928173667606,440.850922873803,440.58819886314205,441.15853795650895
